G,Season,Standardized_Date,Date,Day,Time,School,Standardized_School,Game_Type,Opponent,Standardized_Opponent,Post_Season,Conf,Result,Combined_Location,City,State,Country,Pts,Opp,W,L,T,Streak,Notes,Latitude,Longitude
5,1899,10/18/1899,"Oct 18, 1899",Wed,,Notre Dame,Notre Dame,Away,Michigan,Michigan,N,Western,L,"Ann Arbor, MI",Ann Arbor,MI,USA,0,12,3,2,0,L 1,,42.279731,-83.736923
3,1899,10/4/1899,"Oct 4, 1899",Wed,,Notre Dame,Notre Dame,Away,Chicago,Chicago,N,Western,L,"Chicago, IL",Chicago,IL,USA,6,23,2,1,0,L 1,,41.87897,-87.66063
1,1899,9/27/1899,"Sep 27, 1899",Wed,,Notre Dame,Notre Dame,Home,Englewood High,Englewood High,N,Non-Major,W,"South Bend, IN",South Bend,IN,USA,29,5,1,0,0,W 1,,41.666386,-86.267592
6,1899,10/23/1899,"Oct 23, 1899",Mon,,Notre Dame,Notre Dame,Home,Indiana,Indiana,N,Ind,W,"South Bend, IN",South Bend,IN,USA,17,0,4,2,0,W 1,,41.666386,-86.267592
4,1899,10/14/1899,"Oct 14, 1899",Sat,,Notre Dame,Notre Dame,Home,Lake Forest,Lake Forest,N,Ind,W,"South Bend, IN",South Bend,IN,USA,38,0,3,1,0,W 1,,41.666386,-86.267592
2,1899,9/30/1899,"Sep 30, 1899",Sat,,Notre Dame,Notre Dame,Home,Michigan State,Michigan State,N,Non-Major,W,"South Bend, IN",South Bend,IN,USA,40,0,2,0,0,W 2,,41.666386,-86.267592
7,1899,10/28/1899,"Oct 28, 1899",Sat,,Notre Dame,Notre Dame,Home,Northwestern,Northwestern,N,Western,W,"South Bend, IN",South Bend,IN,USA,12,0,5,2,0,W 2,,41.666386,-86.267592
10,1899,11/30/1899,"Nov 30, 1899",Thu,,Notre Dame,Notre Dame,Home,Physicians & Surgeons,Physicians & Surgeons,N,Non-Major,L,"South Bend, IN",South Bend,IN,USA,0,5,6,3,1,L 1,,41.666386,-86.267592
8,1899,11/4/1899,"Nov 4, 1899",Sat,,Notre Dame,Notre Dame,Home,Rush Medical,Rush Medical,N,Non-Major,W,"South Bend, IN",South Bend,IN,USA,17,0,6,2,0,W 3,,41.666386,-86.267592
9,1899,11/18/1899,"Nov 18, 1899",Sat,,Notre Dame,Notre Dame,Away,Purdue,Purdue,N,Western,T,"West Lafayette, IN",West Lafayette,IN,USA,10,10,6,2,1,T 1,,40.460621,-86.915627
7,1915,11/25/1915,25-Nov-15,Thu,,Notre Dame,Notre Dame,Away,Texas,Texas,N,SWC,W,"Austin, TX",Austin,TX,USA,36,7,6,1,0,W 4,,30.222346,-97.836521
8,1915,11/27/1915,27-Nov-15,Sat,,Notre Dame,Notre Dame,Away,Rice,Rice,N,SWC,W,"Houston, TX",Houston,TX,USA,55,2,7,1,0,W 5,,29.784753,-95.361416
3,1915,10/23/1915,23-Oct-15,Sat,,Notre Dame,Notre Dame,Away,Nebraska,Nebraska,N,MVIAA,L,"Lincoln, NE",Lincoln,NE,USA,19,20,2,1,0,L 1,,40.802759,-96.663162
6,1915,11/13/1915,13-Nov-15,Sat,,Notre Dame,Notre Dame,Away,Creighton,Creighton,N,Non-Major,W,"Omaha, NE",Omaha,NE,USA,41,0,5,1,0,W 3,,41.264998,-95.990742
1,1915,10/2/1915,2-Oct-15,Sat,,Notre Dame,Notre Dame,Home,Alma,Alma,N,Non-Major,W,"South Bend, IN",South Bend,IN,USA,32,0,1,0,0,W 1,,41.666386,-86.267592
2,1915,10/9/1915,9-Oct-15,Sat,,Notre Dame,Notre Dame,Home,Haskell,Haskell,N,Ind,W,"South Bend, IN",South Bend,IN,USA,34,0,2,0,0,W 2,,41.666386,-86.267592
4,1915,10/30/1915,30-Oct-15,Sat,,Notre Dame,Notre Dame,Home,South Dakota,South Dakota,N,Non-Major,W,"South Bend, IN",South Bend,IN,USA,6,0,3,1,0,W 1,,41.666386,-86.267592
5,1915,11/6/1915,6-Nov-15,Sat,,Notre Dame,Notre Dame,Away,Army,Army,N,Ind,W,"West Point, NY",West Point,NY,USA,7,0,4,1,0,W 2,,41.357191,-74.025225
